epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.29987247930421884), 0.4661372159717626) (np.float64(0.26557393493780196), 0.4167124793842771)
40 (np.float64(0.3079172311346079), 0.4621412803532009) (np.float64(0.2773838312018405), 0.42418911489829575)
60 (np.float64(0.3107780598338484), 0.46323691764186353) (np.float64(0.2797555293210637), 0.4331832656198529)
80 (np.float64(0.3124583244326381), 0.4692977620989968) (np.float64(0.2784287927494132), 0.4228571428571429)
100 (np.float64(0.32085590469265546), 0.48056923918992883) (np.float64(0.29054819522761105), 0.43752064295937465)
120 (np.float64(0.32558187152859575), 0.4823052481647858) (np.float64(0.2884550964011101), 0.43854810238305386)
140 (np.float64(0.31296549238389176), 0.46908809891808345) (np.float64(0.29115310920526355), 0.4452875838557132)
160 (np.float64(0.3217027541165467), 0.47915287888815355) (np.float64(0.2893433919492195), 0.43317159241288045)
180 (np.float64(0.3232648633237815), 0.47923817960358767) (np.float64(0.28953255320565435), 0.4384539365323378)
200 (np.float64(0.3230533086241325), 0.47660882934329013) (np.float64(0.28754495479288994), 0.4374794520547945)
220 (np.float64(0.31672074811623185), 0.4765108072342303) (np.float64(0.28721104785192964), 0.4331308669243512)
240 (np.float64(0.3209789775407682), 0.47171895713654444) (np.float64(0.2876893808922502), 0.4380648005289839)
260 (np.float64(0.32172668273385574), 0.47560975609756095) (np.float64(0.2852637685828964), 0.43381461479113853)
280 (np.float64(0.3298000794202826), 0.48617079889807163) (np.float64(0.2847591663492195), 0.4356851054433035)
300 (np.float64(0.3276358614750397), 0.4856985091109884) (np.float64(0.28309713924119434), 0.42967542503863987)
320 (np.float64(0.32384570778366434), 0.4779298168174796) (np.float64(0.28910367859111413), 0.43610927517074244)
340 (np.float64(0.32359631979406145), 0.4778265642151482) (np.float64(0.2817737783534786), 0.4281643835616438)
360 (np.float64(0.3236682432193327), 0.4788809654415798) (np.float64(0.28743962135870166), 0.43406411810069406)
380 (np.float64(0.31420659678770824), 0.46557051423526813) (np.float64(0.2916506998552538), 0.4388157894736842)
400 (np.float64(0.3230735382980082), 0.4802958383927586) (np.float64(0.2875823410123803), 0.4311423241523099)
420 (np.float64(0.31942777592970706), 0.47914827890556044) (np.float64(0.28492152490111794), 0.4326070294536297)
440 (np.float64(0.3125959832020482), 0.4677507966157565) (np.float64(0.27801107185531043), 0.42277227722772276)
460 (np.float64(0.32622747271839825), 0.4760277747161909) (np.float64(0.29090881754589126), 0.4368942731277533)
480 (np.float64(0.32608165167530445), 0.48065508903055615) (np.float64(0.288248069535953), 0.43353424657534245)
500 (np.float64(0.32251036784325277), 0.47625344352617077) (np.float64(0.2878944142234204), 0.4383184769450864)
520 (np.float64(0.3218610124526675), 0.47763507528786536) (np.float64(0.29139414635428423), 0.4406500494125398)
540 (np.float64(0.32541431511133395), 0.4847581179589132) (np.float64(0.28301525408860406), 0.4330396475770925)
560 (np.float64(0.31901972256307104), 0.46763771766509693) (np.float64(0.2931092938908221), 0.4393905939500994)
580 (np.float64(0.32504849400859387), 0.47924737133370227) (np.float64(0.2813326691682539), 0.4257851239669421)
600 (np.float64(0.31988581336304994), 0.4742517605633803) (np.float64(0.28840619381334853), 0.4345388589644938)
620 (np.float64(0.3201769394696847), 0.4804950823295392) (np.float64(0.27801049593300503), 0.4207572088928021)
640 (np.float64(0.31135967525431313), 0.4613686534216336) (np.float64(0.28205641923613195), 0.4214930632019379)
660 (np.float64(0.31175148081375115), 0.4624105668684645) (np.float64(0.28076774373898084), 0.4260114335971856)
680 (np.float64(0.31300527670556777), 0.46502148286878925) (np.float64(0.28387076200155015), 0.4342782094779468)
700 (np.float64(0.3169607410160206), 0.4761590133245237) (np.float64(0.2761277458688156), 0.4180282925759403)
720 (np.float64(0.3145108197574099), 0.47012302284710017) (np.float64(0.2788980347689377), 0.423251187976572)
740 (np.float64(0.3145384775973506), 0.46634297064665636) (np.float64(0.2793208990210767), 0.42624931356397583)
760 (np.float64(0.3236237951765625), 0.4839457133399537) (np.float64(0.28558111478393033), 0.4297294336729105)
780 (np.float64(0.31281751157766663), 0.4685052399338114) (np.float64(0.2834568365291978), 0.43262879788639363)
800 (np.float64(0.3155662409816243), 0.4752507992503583) (np.float64(0.28329943261875884), 0.43)
820 (np.float64(0.31403619640537045), 0.46795366795366794) (np.float64(0.27595907776887124), 0.42060699362216847)
840 (np.float64(0.3210016551049895), 0.48116100766703174) (np.float64(0.2801840011584132), 0.43280632411067194)
860 (np.float64(0.3165351898755138), 0.4701681133941325) (np.float64(0.2871948883984236), 0.4348924022837066)
880 (np.float64(0.31932454455540843), 0.4730249423140314) (np.float64(0.28154766563442285), 0.43125)
900 (np.float64(0.32216390373989223), 0.477946017116524) (np.float64(0.2863138714056503), 0.43532008830022073)
920 (np.float64(0.30815856635582), 0.46192107881065547) (np.float64(0.2753635007904014), 0.4149884450313635)
940 (np.float64(0.32976239487729037), 0.4828116419549698) (np.float64(0.2831180221148977), 0.432043105344183)
960 (np.float64(0.3213920343506249), 0.4765694076038904) (np.float64(0.2750282935772356), 0.41792193512919185)
980 (np.float64(0.3108641804049411), 0.4663588390501319) (np.float64(0.2798602187331327), 0.4261733848702374)
1000 (np.float64(0.3157391257610949), 0.4688153118468815) (np.float64(0.2779924201436483), 0.4233095107201759)
