epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.5985567404130557), 0.8481500781657113) (np.float64(0.5957103273040707), 0.8433179723502304)
40 (np.float64(0.6000273379226749), 0.8577814741657137) (np.float64(0.6036752041033889), 0.8544033350703492)
60 (np.float64(0.6033706117012276), 0.8559490232946829) (np.float64(0.6022872226248305), 0.8485261722437848)
80 (np.float64(0.6063097456725224), 0.8619246861924686) (np.float64(0.6036433315306786), 0.8564438892358942)
100 (np.float64(0.6039895541200895), 0.8603970741901776) (np.float64(0.6028395731421446), 0.8541514741118866)
120 (np.float64(0.6027281632419332), 0.856633829385873) (np.float64(0.6087458035200615), 0.8550905683947533)
140 (np.float64(0.602906152262445), 0.8530548302872063) (np.float64(0.5907746187794647), 0.8450645564348188)
160 (np.float64(0.6035002066774249), 0.8534618204671625) (np.float64(0.6018390030504609), 0.8488044272736766)
180 (np.float64(0.6002571095844969), 0.8543032573628889) (np.float64(0.5945887251772498), 0.8488699093844391)
200 (np.float64(0.594419414926095), 0.8536432815594704) (np.float64(0.5957768695621226), 0.845976770953228)
220 (np.float64(0.5975169638974024), 0.8505759162303665) (np.float64(0.596800490227754), 0.8420778137060603)
240 (np.float64(0.6074420477368198), 0.8630480167014614) (np.float64(0.5957773302097342), 0.846417801809296)
260 (np.float64(0.6062569382069777), 0.8555926544240401) (np.float64(0.5944080462905512), 0.8461779448621554)
280 (np.float64(0.5989151349200263), 0.8537755527743012) (np.float64(0.5927508077140942), 0.8392540889676008)
300 (np.float64(0.6011286864869606), 0.8528211033183293) (np.float64(0.596302458479146), 0.845328611602958)
320 (np.float64(0.6023830484844815), 0.8553675856307436) (np.float64(0.6018844680942734), 0.8485735186539868)
340 (np.float64(0.5920122041450459), 0.8440596641285073) (np.float64(0.5931452260780717), 0.8438152946092771)
360 (np.float64(0.5932304253581855), 0.8525292642140468) (np.float64(0.5912463774389923), 0.8455828541557763)
380 (np.float64(0.6017260127074605), 0.8556819367630178) (np.float64(0.5956087583108726), 0.844249451582576)
400 (np.float64(0.5922954866898635), 0.8469791666666666) (np.float64(0.5921206628407083), 0.8431393040025081)
420 (np.float64(0.6036634749794137), 0.8537145242070117) (np.float64(0.5920142888068545), 0.8437369519832986)
440 (np.float64(0.5975316902168014), 0.8511127363911817) (np.float64(0.5927290871817049), 0.8471125882841711)
460 (np.float64(0.5963169515174287), 0.8518634512997182) (np.float64(0.5920855391719247), 0.8426719632030106)
480 (np.float64(0.5988395652665692), 0.8476319069380972) (np.float64(0.5904266746328266), 0.8468684759916493)
500 (np.float64(0.6041092972795211), 0.8569632191134863) (np.float64(0.6005063596942443), 0.8511792945105406)
