epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.5078978188908673), 0.7290675306267085) (np.float64(0.47485100599722924), 0.687588580684349)
40 (np.float64(0.5193898721394241), 0.7321374277896017) (np.float64(0.4913602204979786), 0.6974858069748581)
60 (np.float64(0.5238775611852441), 0.7282300526528959) (np.float64(0.4940609385496092), 0.6985107891804275)
80 (np.float64(0.5262015588657067), 0.73440664236533) (np.float64(0.4886527191220512), 0.6913404988846076)
100 (np.float64(0.5237132723579405), 0.7286813854567551) (np.float64(0.4968696085600927), 0.7027819929185635)
120 (np.float64(0.535688983350258), 0.7435715731929541) (np.float64(0.4942045769387486), 0.698451260249013)
140 (np.float64(0.5363680445714326), 0.7376087396318025) (np.float64(0.4904231928298682), 0.6947848101265823)
160 (np.float64(0.5315063395308007), 0.7371139240506329) (np.float64(0.49831360622708987), 0.7010424046149175)
180 (np.float64(0.5361918608748031), 0.74048968029138) (np.float64(0.49488447072378966), 0.6977804803891761)
200 (np.float64(0.5343393991048575), 0.7356694348794814) (np.float64(0.49355115122948107), 0.6961845967007388)
220 (np.float64(0.5323808175385094), 0.732941891071067) (np.float64(0.49721402887217386), 0.7005672609400324)
240 (np.float64(0.532285735014895), 0.7348446513510778) (np.float64(0.49463348313257405), 0.6932968813284731)
260 (np.float64(0.5307379098770717), 0.7369166919728718) (np.float64(0.4969107454660485), 0.6971509682652337)
280 (np.float64(0.5393494773308676), 0.7427616926503341) (np.float64(0.5001090025576788), 0.6993927125506073)
300 (np.float64(0.5321695211177292), 0.7340091231626964) (np.float64(0.4968828205892888), 0.7006169717811267)
320 (np.float64(0.5266823050799893), 0.729954384186518) (np.float64(0.4946379319832319), 0.6915679724668489)
340 (np.float64(0.5349122501207191), 0.7382836275106512) (np.float64(0.49602760147527863), 0.6919570502431118)
360 (np.float64(0.5355126061517377), 0.7364427357345205) (np.float64(0.4990260696031301), 0.6981380287391217)
380 (np.float64(0.5294802206274287), 0.7303484602917342) (np.float64(0.49254933257291367), 0.6902421724592157)
400 (np.float64(0.5313990268453299), 0.7357193408148822) (np.float64(0.4969339619333698), 0.6994734710409073)
420 (np.float64(0.5276039617436429), 0.7264074524098826) (np.float64(0.4894512655446894), 0.6909146094698503)
440 (np.float64(0.5329762352701364), 0.7335965978128797) (np.float64(0.4932818961458021), 0.6942307692307692)
460 (np.float64(0.5338765534039321), 0.7353119935170178) (np.float64(0.49577317441128693), 0.7012868578376735)
480 (np.float64(0.5313744549099909), 0.7290949584936222) (np.float64(0.4939494137157466), 0.6952998379254457)
500 (np.float64(0.5334756474805193), 0.7379554655870445) (np.float64(0.4949336185590914), 0.6916067631872026)
520 (np.float64(0.5220965044797903), 0.7214329206413639) (np.float64(0.4911788059666618), 0.6839656044511887)
540 (np.float64(0.5237947020924568), 0.7253114554846551) (np.float64(0.4925588657314204), 0.6914990397250581)
560 (np.float64(0.5308003070978388), 0.7288547146904087) (np.float64(0.49184842258358), 0.6894039064871976)
580 (np.float64(0.527324598146877), 0.73050864597027) (np.float64(0.4870814711540315), 0.6849024168267772)
600 (np.float64(0.5265645071052569), 0.7245599838154967) (np.float64(0.49510316301778895), 0.6959206397408645)
620 (np.float64(0.5238530503951825), 0.722323600973236) (np.float64(0.4962474090477436), 0.6949032323437025)
640 (np.float64(0.5284464321412803), 0.7265917602996255) (np.float64(0.4900955763090868), 0.690562980963953)
660 (np.float64(0.5286129898923457), 0.7281926735478648) (np.float64(0.49224279787151703), 0.6927826703107602)
680 (np.float64(0.526218974596212), 0.7245496862983202) (np.float64(0.4939302622088607), 0.689620253164557)
700 (np.float64(0.5319296587320378), 0.7298937784522003) (np.float64(0.4891204149863192), 0.6828774062816616)
720 (np.float64(0.5345401404298584), 0.731194802558116) (np.float64(0.49124036759557116), 0.6873481781376518)
740 (np.float64(0.530753825386922), 0.724633282751644) (np.float64(0.4876960200703682), 0.6870941558441559)
760 (np.float64(0.5293930753036638), 0.7281003439206959) (np.float64(0.4882311779501741), 0.6869626782643876)
780 (np.float64(0.5331624551562916), 0.7321247721288232) (np.float64(0.4890121755210956), 0.689620253164557)
800 (np.float64(0.5307708522381747), 0.7266012344429829) (np.float64(0.4852179010712533), 0.6831271547353478)
820 (np.float64(0.5214829288729871), 0.7175387106568161) (np.float64(0.49093297053740065), 0.6872532145388276)
840 (np.float64(0.5294373933314781), 0.7254484645788993) (np.float64(0.49109485180657253), 0.6853352238201337)
860 (np.float64(0.5261814335834358), 0.7277608915906788) (np.float64(0.49778575396882957), 0.6868676649129907)
880 (np.float64(0.5233359173978323), 0.7205465587044534) (np.float64(0.4917897610859288), 0.6887155591572123)
900 (np.float64(0.5331246369367829), 0.7306990881458967) (np.float64(0.49906028223806903), 0.6940676250253087)
920 (np.float64(0.533606737382589), 0.7309485204702068) (np.float64(0.4969145532919211), 0.691841067637246)
940 (np.float64(0.5267652933974478), 0.7269690220692447) (np.float64(0.4873186762707116), 0.684839886501824)
960 (np.float64(0.5299945349413817), 0.728175005063804) (np.float64(0.48739519340257076), 0.6853238866396761)
980 (np.float64(0.5180906951196278), 0.7164103601780656) (np.float64(0.4846919559598615), 0.6802549059275743)
1000 (np.float64(0.5235262013564641), 0.7227281926735478) (np.float64(0.48280722642500945), 0.6796716659910823)
