epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.5384666834231192), 0.7925496688741722) (np.float64(0.5215295451109226), 0.7731788079470199)
40 (np.float64(0.5901239145930067), 0.8294701986754967) (np.float64(0.563115932863697), 0.8)
60 (np.float64(0.6019418432710105), 0.8367549668874172) (np.float64(0.5739125352423053), 0.8086092715231789)
80 (np.float64(0.6130579560647474), 0.8408940397350994) (np.float64(0.5840647552968297), 0.8175496688741721)
100 (np.float64(0.6119661171512794), 0.8430463576158941) (np.float64(0.5848716896339506), 0.8129139072847682)
120 (np.float64(0.614322463700915), 0.8430463576158941) (np.float64(0.5855235184087445), 0.8182119205298013)
140 (np.float64(0.6158070457181202), 0.8435430463576159) (np.float64(0.5863026680035252), 0.8165562913907285)
160 (np.float64(0.6152630164135392), 0.8440397350993377) (np.float64(0.586225093005203), 0.8172185430463577)
180 (np.float64(0.6157916232580032), 0.8486754966887418) (np.float64(0.5891952063245685), 0.8190397350993377)
200 (np.float64(0.6190812104031062), 0.8483443708609272) (np.float64(0.5904377825534989), 0.8177152317880795)
