epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.9022414829247702), 0.9375380865326021) (np.float64(0.8894661686526408), 0.9259597806215722)
40 (np.float64(0.9065651644872376), 0.9387568555758684) (np.float64(0.894060284653351), 0.929006703229738)
60 (np.float64(0.9047007875126135), 0.9369287020109689) (np.float64(0.8940427156491157), 0.9287020109689214)
80 (np.float64(0.9090994270627901), 0.9408897014015845) (np.float64(0.8934564249900935), 0.9280926264472883)
100 (np.float64(0.9077365814804399), 0.9408897014015845) (np.float64(0.8929362632531046), 0.9280926264472883)
120 (np.float64(0.9086089980548339), 0.9399756246191346) (np.float64(0.8927449288021526), 0.9241316270566727)
140 (np.float64(0.9060237112196033), 0.9390615478366849) (np.float64(0.8938836582322763), 0.926873857404022)
160 (np.float64(0.9073770402202365), 0.941194393662401) (np.float64(0.891402794704867), 0.9265691651432053)
180 (np.float64(0.9072350071149595), 0.9399756246191346) (np.float64(0.8928355010183063), 0.9265691651432053)
200 (np.float64(0.9056189803234206), 0.9387568555758684) (np.float64(0.8925635682799967), 0.9274832419256551)
220 (np.float64(0.9063491312131466), 0.9384521633150518) (np.float64(0.8897314827014287), 0.9262644728823888)
240 (np.float64(0.9079240990470571), 0.941194393662401) (np.float64(0.8877533264592306), 0.9241316270566727)
260 (np.float64(0.9054190104449167), 0.9366240097501524) (np.float64(0.8922179962236595), 0.9238269347958562)
280 (np.float64(0.9071541478113859), 0.9390615478366849) (np.float64(0.8880160728669123), 0.9238269347958562)
300 (np.float64(0.9055415700967141), 0.9375380865326021) (np.float64(0.8905988818135238), 0.9253503960999391)
320 (np.float64(0.9069848885910027), 0.9378427787934186) (np.float64(0.8885439333768427), 0.9238269347958562)
340 (np.float64(0.9035243654612987), 0.9351005484460695) (np.float64(0.8889361060409675), 0.9253503960999391)
360 (np.float64(0.9064334827964003), 0.9369287020109689) (np.float64(0.889874416647664), 0.9244363193174894)
380 (np.float64(0.9057918844568275), 0.9378427787934186) (np.float64(0.8883410980937622), 0.9229128580134065)
400 (np.float64(0.9058298020682999), 0.9381474710542352) (np.float64(0.8912998673983222), 0.923217550274223)
420 (np.float64(0.9070641488667712), 0.9369287020109689) (np.float64(0.8894868307742643), 0.9247410115783059)
440 (np.float64(0.9059314968548059), 0.9381474710542352) (np.float64(0.8891962667279177), 0.9244363193174894)
460 (np.float64(0.9076689305394161), 0.9393662400975015) (np.float64(0.8898181581597814), 0.9256550883607556)
480 (np.float64(0.90578039529196), 0.9372333942717855) (np.float64(0.8889927824681709), 0.9238269347958562)
500 (np.float64(0.9080804850559456), 0.9390615478366849) (np.float64(0.8885754293420659), 0.9256550883607556)
520 (np.float64(0.9062501125191129), 0.9357099329677027) (np.float64(0.8883225453055725), 0.9262644728823888)
540 (np.float64(0.9056137271461936), 0.9381474710542352) (np.float64(0.8874887982320993), 0.9226081657525899)
560 (np.float64(0.9072083719780849), 0.9360146252285192) (np.float64(0.8882753478506912), 0.9241316270566727)
580 (np.float64(0.9074727967031754), 0.9363193174893357) (np.float64(0.8882661381489578), 0.9238269347958562)
600 (np.float64(0.906157165256737), 0.9363193174893357) (np.float64(0.8864439696770592), 0.9229128580134065)
620 (np.float64(0.9050868834010096), 0.9363193174893357) (np.float64(0.8864769363168514), 0.9235222425350396)
640 (np.float64(0.903548630138015), 0.9344911639244363) (np.float64(0.8854770821544116), 0.9229128580134065)
660 (np.float64(0.9072667901228993), 0.9369287020109689) (np.float64(0.8848026706112974), 0.9213893967093236)
680 (np.float64(0.9068242301124467), 0.9360146252285192) (np.float64(0.8873970684926347), 0.9253503960999391)
700 (np.float64(0.9057573499922198), 0.9363193174893357) (np.float64(0.8848219356372361), 0.9223034734917733)
720 (np.float64(0.9048582769504384), 0.9360146252285192) (np.float64(0.8849262427659141), 0.9207800121876905)
740 (np.float64(0.9066896860252988), 0.9384521633150518) (np.float64(0.8843367361252791), 0.9213893967093236)
760 (np.float64(0.9051639586456802), 0.9357099329677027) (np.float64(0.8862600321871019), 0.9201706276660573)
780 (np.float64(0.905894584376624), 0.9347958561852528) (np.float64(0.8857496348435688), 0.9229128580134065)
800 (np.float64(0.9048103574886567), 0.9360146252285192) (np.float64(0.8892278866293246), 0.9247410115783059)
820 (np.float64(0.906417527334685), 0.9381474710542352) (np.float64(0.885831054723821), 0.9229128580134065)
840 (np.float64(0.9068048208710734), 0.9357099329677027) (np.float64(0.8851244273657416), 0.9195612431444241)
860 (np.float64(0.9050804648147118), 0.9344911639244363) (np.float64(0.8860533971637473), 0.9238269347958562)
880 (np.float64(0.9050963555929242), 0.9363193174893357) (np.float64(0.8859019221455859), 0.9223034734917733)
900 (np.float64(0.9054929467497415), 0.9363193174893357) (np.float64(0.8848243668833555), 0.9201706276660573)
920 (np.float64(0.9055430981511831), 0.9369287020109689) (np.float64(0.8854600830387767), 0.921084704448507)
940 (np.float64(0.9045605473313134), 0.9378427787934186) (np.float64(0.8854617839669461), 0.9238269347958562)
960 (np.float64(0.9055451969574309), 0.9372333942717855) (np.float64(0.8859968608340688), 0.9226081657525899)
980 (np.float64(0.904703744478803), 0.9372333942717855) (np.float64(0.8845177026552834), 0.9198659354052408)
1000 (np.float64(0.9050820451530127), 0.9357099329677027) (np.float64(0.8825714668383002), 0.9201706276660573)
